x	y	z	metro	Pitch	Roll
-0.09	-0.03	0.88	0.885098865	-6.25	-1.95
-0.09	-0.03	0.87	0.875157129	-6.38	-1.99
-0.09	-0.03	0.87	0.875157129	-6.38	-1.99
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.1	-0.04	0.87	0.876641318	-7	-2.62
-0.09	-0.03	0.87	0.875157129	-6.38	-1.99
-0.07	-0.02	0.85	0.85311195	-5.26	-1.41
-0.09	-0.04	0.88	0.885494212	-6.18	-2.6
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.09	-0.03	0.88	0.885098865	-6.25	-1.95
-0.09	-0.03	0.87	0.875157129	-6.38	-1.99
-0.1	-0.04	0.87	0.876641318	-7	-2.62
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.09	-0.03	0.88	0.885098865	-6.25	-1.95
-0.09	-0.04	0.87	0.875556966	-6.31	-2.65
-0.1	-0.08	0.86	0.869482605	-6.81	-5.33
-0.11	-0.08	0.88	0.890449325	-7.19	-5.07
-0.12	-0.08	0.87	0.881873007	-8	-5.11
-0.12	-0.07	0.87	0.881022134	-8.09	-4.48
-0.13	-0.07	0.88	0.892300398	-8.58	-4.34
-0.1	-0.03	0.87	0.876241976	-7.09	-1.97
-0.1	-0.08	0.87	0.879374778	-6.68	-5.23
-0.09	-0.07	0.88	0.887355622	-5.96	-4.54
-0.1	-0.07	0.87	0.878521485	-6.75	-4.58
-0.1	-0.07	0.88	0.888425574	-6.62	-4.49
-0.11	-0.09	0.87	0.881532756	-7.25	-5.81
-0.11	-0.1	0.88	0.892468487	-7.03	-6.33
-0.08	-0.07	0.88	0.886397202	-5.3	-4.59
-0.08	-0.06	0.87	0.875728268	-5.48	-4.02
-0.1	-0.08	0.87	0.879374778	-6.68	-5.23
-0.1	-0.08	0.87	0.879374778	-6.68	-5.23
-0.09	-0.07	0.88	0.887355622	-5.96	-4.54
-0.1	-0.07	0.87	0.878521485	-6.75	-4.58
-0.1	-0.07	0.87	0.878521485	-6.75	-4.58
-0.1	-0.07	0.87	0.878521485	-6.75	-4.58
-0.1	-0.08	0.87	0.879374778	-6.68	-5.23
-0.1	-0.07	0.87	0.878521485	-6.75	-4.58
-0.11	-0.08	0.87	0.880567999	-7.34	-5.17
-0.11	-0.08	0.88	0.890449325	-7.19	-5.07
-0.11	-0.08	0.87	0.880567999	-7.34	-5.17
-0.1	-0.08	0.87	0.879374778	-6.68	-5.23
-0.1	-0.36	0.78	0.864869932	-5.74	-27.02
0.05	-0.19	0.84	0.862670273	3.13	-13.81
-0.03	-0.02	0.85	0.850764362	-2.26	-1.49
-0.08	-0.06	0.88	0.885663593	-5.37	-3.94
-0.13	-0.07	0.87	0.8824398	-8.75	-4.43
-0.1	-0.07	0.87	0.878521485	-6.75	-4.58
-0.1	-0.05	0.87	0.87715449	-6.92	-3.27
-0.1	-0.05	0.86	0.867236992	-7.06	-3.34
-0.11	-0.02	0.87	0.87715449	-7.88	-1.3
-0.1	-0.03	0.86	0.866314031	-7.24	-2
-0.1	-0.04	0.86	0.866717947	-7.15	-2.67
-0.09	-0.07	0.87	0.877439457	-6.08	-4.63
-0.1	-0.1	0.86	0.871550343	-6.66	-6.66
-0.09	-0.09	0.86	0.869367586	-6.07	-6.07
-0.11	-0.15	0.86	0.879886356	-6.92	-9.82
-0.11	-0.22	0.9	0.933005895	-5.94	-13.79
-0.11	-0.2	0.86	0.889775253	-6.56	-12.99
-0.08	-0.09	0.87	0.878293801	-5.29	-6.01
-0.1	-0.16	0.91	0.929354615	-5.68	-9.61
-0.05	-0.16	0.87	0.886002257	-3.06	-10.98
-0.12	0.06	0.87	0.880284045	-8.18	3.84
-0.13	0.2	0.82	0.853990632	-8.31	13.71
-0.16	0.16	0.85	0.879602183	-10.08	10.08
-0.17	0.11	0.8	0.825227241	-12.49	7.57
-0.12	-0.06	0.93	0.939627586	-7.26	-3.43
-0.16	-0.13	0.88	0.903825204	-9.85	-7.78
-0.11	-0.03	0.9	0.907193474	-7.31	-1.83
-0.17	-0.04	0.83	0.84817451	-12.83	-2.61
-0.09	0.06	0.84	0.846935653	-6.56	4.22
-0.11	0.06	0.86	0.869079973	-7.67	3.96
-0.11	0.07	0.86	0.869827569	-7.58	4.62
-0.11	0.15	0.88	0.899444273	-6.66	9.44
-0.12	0.46	0.71	0.854458893	-6.9	36.25
0.17	0.54	0.84	1.012965942	7.61	31.63
-0.01	0.84	0.56	1.009603883	-0.49	69.15
-0.16	1	0.39	1.085218872	-7.75	72.77
0.1	0.89	0.21	0.919891298	5.99	81.06
0.06	1	-0.03	1.002247474	3.36	86.58
0	1.04	-0.02	1.04019229	0	89.98
0.09	1.02	0.02	1.024158191	4.94	85.03
0.09	1.02	0.04	1.02474387	4.94	84.97
0.08	1.03	0.04	1.033876201	4.35	85.56
0.06	1.02	0.01	1.021812116	3.3	86.69
0.04	1.02	0.01	1.020832993	2.2	87.79
0.13	1.02	0.03	1.028688485	7.12	82.83
0.1	1.02	-0.06	1.026645021	5.47	84.32
0.14	1.03	-0.09	1.043359957	7.54	81.98
0.11	1.02	-0.09	1.029854359	5.99	83.53
0.06	1.04	-0.07	1.044078541	3.23	86.5
-0.12	1.05	-0.05	1.058017013	-6.38	83.47
-0.13	1.05	-0.08	1.061037228	-6.89	82.74
-0.1	1.04	-0.08	1.047854952	-5.36	84.28
-0.1	1.02	-0.07	1.027277957	-5.47	84.25
-0.08	1.06	-0.19	1.079861102	-4.1	83.91
-0.08	1.02	-0.21	1.044461584	-4.22	83.25
-0.08	1.05	-0.21	1.073778376	-4.11	83.44
-0.12	0.99	-0.26	1.03058236	-6.33	79.28
-0.15	1.04	-0.3	1.092748827	-7.41	77.04
-0.16	0.99	-0.36	1.065504575	-7.96	73.78
-0.07	1.05	-0.1	1.057071426	-3.71	85.74
-0.11	1.03	0.02	1.036050192	-5.98	84
-0.1	1.01	0.11	1.020881972	-5.48	83.8
-0.17	0.99	0.2	1.02420701	-9.2	78.3
-0.16	0.95	0.21	0.986002028	-8.97	78.17
-0.14	1	0.2	1.029368739	-7.53	80.04
-0.08	1	0.06	1.004987562	-4.47	85.32
-0.03	1.03	0.02	1.030630875	-1.64	88.34
-0.03	1.03	0.01	1.030485323	-1.64	88.36
-0.03	1.05	0	1.050428484	-1.61	88.39
-0.01	1.05	0.01	1.050095234	-0.54	89.46
-0.01	1.01	-0.01	1.010099005	-0.56	89.44
-0.03	1.02	-0.01	1.020490078	-1.65	88.34
-0.01	1.03	0	1.030048543	-0.55	89.45
-0.01	1.03	0	1.030048543	-0.55	89.45
-0.02	1.04	0.01	1.040240357	-1.08	88.91
0	1.02	0	1.02	0	90
-0.02	1.02	0	1.02019606	-1.1	88.9
-0.03	1.04	0	1.040432602	-1.62	88.38
-0.02	1.03	0	1.030194156	-1.09	88.91
-0.02	1.04	0.01	1.040240357	-1.08	88.91
-0.02	1.03	0	1.030194156	-1.09	88.91
0.08	1.14	-0.01	1.142847321	3.91	86.08
0.56	0.34	0.18	0.67941151	56.19	30.19
-0.13	-0.65	0.65	0.928385696	-6.75	-49.24
-0.31	-0.63	0.74	1.020098035	-14.88	-35.88
-0.12	-0.4	0.83	0.929139387	-6.14	-26.39
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.1	-0.39	0.82	0.913509715	-5.24	-26.86
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.84	0.930483745	-4.58	-26.2
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.1	-0.39	0.83	0.922496612	-5.17	-26.39
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
-0.09	-0.39	0.83	0.921466223	-4.65	-26.67
0.22	-0.13	0.9	0.93557469	12.94	-7.08
0.57	0.22	0.66	0.899388681	40.38	12.56
0.8	0.33	0.44	0.970824392	56.73	18.47
0.63	0.39	0.52	0.905207159	43.49	23.62
0.67	0.49	0.52	0.979489663	41.69	27.4
0.72	0.35	0.37	0.881929702	55.89	22.22
0.86	0.4	0.22	0.973652916	62.32	23.75
0.9	0.41	0.07	0.991463565	65.22	24.43
0.92	0.43	-0.02	1.015726341	64.9	25.07
0.91	0.42	0.03	1.002696365	65.14	24.79
0.75	0.56	0.18	0.953152664	52	35.41
0.59	0.79	0.18	1.002297361	35.48	52.05
0.31	0.95	0.11	1.005335765	18.05	71.11
0.13	1	0.12	1.015529419	7.17	81.96
0.52	0.83	0.22	1.003842617	30.57	55.82
0.83	0.47	0.19	0.972573905	58.77	28.47
0.87	0.35	0.22	0.963223754	65.17	20.92
0.98	0.28	0.16	1.03169763	72.51	15.8
0.96	0.02	0.07	0.962756459	88.55	1.16
1.2	0.17	0.01	1.212023102	82.13	7.87
0.99	0.14	0.13	1.008265838	81.19	7.77
0.99	-0.02	0.16	1.003045363	87.45	-1.11
0.92	0.22	0.18	0.962912249	75.01	12.76
1.08	0.34	0.11	1.137585162	71.79	17.47
1.01	0.26	0.13	1.050999524	74.45	14.47
1.02	0.01	-0.01	1.020098035	89.44	0.55
0.98	-0.08	0.01	0.983310734	85.42	-4.57
0.99	-0.34	0.04	1.047520883	70.81	-19.09
1	-0.29	0.02	1.041393297	73.59	-16.38
1.05	-0.19	-0.03	1.067473653	79.89	-10.06
1.03	-0.19	-0.04	1.048141212	79.66	-10.24
1.03	-0.21	-0.02	1.051380045	78.67	-11.31
1.01	-0.24	-0.02	1.038315944	76.34	-13.64
1	-0.25	0	1.030776406	75.7	-14.3
1.01	-0.29	0.05	1.051998099	73.64	-16.2
0.99	-0.31	-0.05	1.038604833	72.29	-17.54
1.03	-0.29	0.11	1.075685828	73.46	-15.78
0.98	-0.32	0.09	1.034842983	71.33	-18.13
0.98	-0.23	0.04	1.007422454	76.42	-13.48
1.01	-0.26	0.06	1.044653052	75.13	-14.64
0.99	-0.18	0.01	1.006280279	79.89	-10.1
1.03	-0.13	-0.03	1.038604833	82.89	-7.05
1.04	-0.12	-0.01	1.046947945	83.54	-6.46
1.04	-0.1	-0.03	1.045227248	84.56	-5.38
1.04	-0.08	-0.07	1.045418576	85.43	-4.3
1.04	-0.08	-0.07	1.045418576	85.43	-4.3
1.03	-0.08	-0.09	1.037014947	85.21	-4.32
1.05	-0.07	-0.09	1.056172334	85.84	-3.72
1.02	-0.06	-0.17	1.035808863	85.15	-3.21
1.05	-0.06	-0.17	1.065363788	85.29	-3.13
1.01	-0.06	-0.22	1.035422619	83.81	-3.17
1.03	-0.06	-0.26	1.06400188	82.87	-3.06
1.03	-0.1	-0.21	1.055935604	82.24	-5.23
